t_index	term	df
0	aan	1
1	aaron	2
2	ab	1
3	aback	1
4	abahd	1
5	abandon	37
6	abat	1
7	abc	49
8	abccom	1
9	abcnewscom	3
10	abdallah	2
11	abdel	3
12	abdomin	2
13	abduct	2
14	abdul	5
15	abdulkarim	11
16	abdullah	40
17	abdurahman	1
18	aberr	1
19	abhad	1
20	abhiyan	1
21	abhorr	2
22	abid	7
23	abidjan	36
24	abijan	1
25	abil	32
26	ablaz	3
27	abnorm	1
28	aboard	93
29	abobo	3
30	abolish	4
31	abomin	1
32	abort	7
33	abou	1
34	abound	4
35	about	1
36	abovo	1
37	abraham	10
38	abreast	1
39	abrego	1
40	abroad	52
41	abrog	2
42	abrupt	1
43	abruptli	4
44	abscam	1
45	absenc	6
46	absent	4
47	absente	7
48	absentia	3
49	absolut	43
50	absorb	9
51	abstain	1
52	abstent	1
53	absurd	2
54	abu	7
55	abund	2
56	abus	28
57	abuseofpow	1
58	abuzaakouk	1
59	abyan	1
60	abyssinian	1
61	academ	6
62	academi	4
63	academia	1
64	acced	1
65	acceler	4
66	accent	2
67	accentu	2
68	accept	124
69	access	41
70	accid	32
71	accident	3
72	accommod	11
73	accompani	33
74	accomplic	5
75	accomplish	10
76	accord	7
77	accordion	1
78	account	125
79	accredit	1
80	accumul	2
81	accur	14
82	accuraci	1
83	accus	131
84	accustom	2
85	ace	27
86	acerb	2
87	achiev	31
88	acid	2
89	acknowledg	55
90	acolyt	1
91	acosta	1
92	acquaint	1
93	acquiesc	1
94	acquir	5
95	acquisit	1
96	acquit	5
97	acquitt	3
98	acr	1
99	acrimoni	2
100	acrobat	5
101	acronym	1
102	acrosstheboard	1
103	act	61
104	action	94
105	actionc	1
106	activ	89
107	activist	19
108	actor	4
109	actress	2
110	actual	6
111	ad	47
112	adam	8
113	adapt	5
114	add	18
115	addali	1
116	adden	1
117	addit	74
118	address	64
119	adem	1
120	aden	169
121	adenabyan	5
122	adenbas	1
123	adequ	7
124	adher	4
125	adiksa	1
126	adjac	4
127	adjam	2
128	adjoin	3
129	adjourn	3
130	adjust	7
131	adlai	1
132	adm	44
133	admen	1
134	administ	9
135	administr	115
136	administrationmedi	1
137	admir	38
138	admiralti	1
139	admiringli	1
140	admiss	2
141	admit	40
142	ado	2
143	adob	1
144	adolesc	2
145	adopt	10
146	adorn	1
147	adoubi	1
148	adra	1
149	adrain	1
